wavelength_nm,x_location_cm,i_detected,L_vessel_cm,L_muscle_cm
660,-0.96,1.2662416e-05,6.227086507757171e-05,6.068491948772899
660,-0.72,1.257711e-05,0.00037372705664799946,6.314264000487684
660,-0.48,1.1680332e-05,0.002116834821070182,6.19931532008826
660,-0.24,9.736646e-06,0.008040698123544274,5.614749435783573
660,0.0,8.174432e-06,0.018729737358619384,4.529560954898947
660,0.24,1.0620193e-05,0.008136983509328491,5.462253063408441
660,0.48,1.1689312e-05,0.0018992765162107338,6.410878751225246
660,0.72,1.2696903e-05,0.0004255806713736979,6.563078276885063
660,0.96,1.3025145e-05,3.7920977902980594e-05,6.112767112589936
660,1.2,1.3167982e-05,1.0808389867173393e-05,4.34982592669924
850,-0.96,9.425165e-06,0.00024794182790655175,4.396916355843665
850,-0.72,8.361121e-06,0.0005862804914528754,4.925538076502614
850,-0.48,8.567269e-06,0.0030725165215611527,4.718511372413802
850,0.0,5.55546e-06,0.025681010390300536,3.8479138679169456
850,0.24,6.780407e-06,0.012370610786267966,4.299617469914871
850,0.48,8.850171e-06,0.003120351672708267,4.861419549709143
850,0.72,8.3757495e-06,0.0006762971817199999,4.921638148840611
850,0.96,8.590699e-06,0.0002659488206803336,4.6504017067042955
850,1.2,8.744657e-06,3.609929461212716e-05,3.076670960301834
940,-0.96,1.251965e-05,1.9683932135851797e-05,1.9581119170308443
940,-0.72,1.2389913e-05,7.17840317663268e-05,2.015458051848611
940,-0.48,1.2360903e-05,0.0006307065058038225,2.0197014659085455
940,-0.24,1.1039217e-05,0.0038181949253020364,1.9181723501074792
940,0.0,1.0139921e-05,0.009280922231228545,1.7873602736613756
940,0.24,1.1313711e-05,0.0039159844679356355,1.9143838205813926
940,0.48,1.2164832e-05,0.0006326771124306506,2.025738135172894
940,0.72,1.2563611e-05,8.470539971663196e-05,2.0821452532084503
940,0.96,1.2599702e-05,6.0865243877746884e-06,1.9760761008087553
940,1.2,1.2806711e-05,9.295644785169201e-06,1.376866276054021
